year,googleknowlege_occupation,show,group,raw_guest_list
2000,magician,6/5/00,media,penn and teller
2000,actress,6/6/00,acting,kelli williams
2000,filmmaker,6/7/00,media,michael moore
2000,actress,7/10/00,acting,anna paquin
2000,actor,7/11/00,acting,j. k. simmons
2000,actress,7/12/00,acting,famke janssen
2000,actor,7/13/00,acting,billy crudup
2000,actor,7/17/00,acting,shawn wayans & marlon wayans
2000,actor,7/17/00,acting,shawn wayans & marlon wayans
2000,actress,7/18/00,acting,halle berry
2000,na,7/19/00,na,fourth anniversary special
2000,television personality,7/20/00,media,al roker
2000,actor,7/24/00,acting,peter fonda
2000,writer,7/25/00,media,joe eszterhas
2000,actress,7/26/00,acting,jennifer beals
2000,na,7/31/00,na,campaign trail to the road to the white house mo rocca, vance degeneres
2000,american politician,8/1/00,politician,bob dole
2000,former governor of nebraska,8/15/00,politician,bob kerrey
2000,actor,8/16/00,acting,william baldwin
2000,american politician,8/18/00,politician,bob dole
2000,former u.s. representative,8/2/00,politician,mary bono
2000,actor,8/22/00,acting,jeremy piven
2000,musician,8/23/00,musician,slash
2000,actor,8/24/00,acting,vincent d'onofrio
2000,american politician,8/3/00,politician,bob dole
2000,former united states secretary of labor,8/4/00,politician,robert reich and ben stein
2000,writer,8/4/00,media,robert reich and ben stein
2000,actor,9/11/00,acting,joe mantegna
2000,actor,9/12/00,acting,eugene levy
2000,boxer,9/13/00,athletics,lennox lewis
2000,former us senator,9/14/00,politician,joe lieberman
2000,actor,9/18/00,acting,ryan phillippe
2000,actress,9/19/00,acting,jamie lee curtis
2000,rock band,9/20/00,musician,barenaked ladies
2000,actor,9/21/00,acting,jamie foxx
2000,comedian,9/25/00,comedy,jonathan katz
2000,actor,9/26/00,acting,bill goldberg
2000,actor,9/27/00,acting,sylvester stallone
2000,actor,9/28/00,acting,tony danza
2000,film actor,9/5/00,acting,donal logue
2000,actor,9/6/00,acting,greg kinnear
2000,band,9/7/00,musician,spinal tap
2001,singer,1/10/01,musician,vitamin c
2001,actress,1/11/01,acting,julia stiles
2001,actor,1/15/01,acting,willem dafoe
2001,actor,1/16/01,acting,tim robbins
2001,reporter,1/17/01,media,sam donaldson
2001,actress,1/18/01,acting,lynn whitfield
2001,television host,1/22/01,media,bill o'reilly
2001,actor,1/23/01,acting,matthew mcconaughey
2001,american football quarterback,1/24/01,athletics,terry bradshaw
2001,actor,1/25/01,acting,topher grace
2001,actor,1/29/01,acting,david boreanaz
2001,film actress,1/30/01,acting,dyan cannon
2001,actor,1/31/01,acting,james van der beek
2001,comedian,1/9/01,comedy,richard lewis
2001,actor,10/1/01,acting,kelsey grammer
2001,actor,10/10/01,acting,jeremy piven
2001,journalist,10/11/01,media,john miller
2001,chef,10/15/01,misc,emeril lagasse
2001,actress,10/16/01,acting,lorraine bracco
2001,actor,10/17/01,acting,snoop dogg
2001,journalist,10/18/01,media,fareed zakaria
2001,actor,10/2/01,acting,james belushi
2001,singer,10/22/01,musician,lance bass
2001,journalist,10/23/01,media,don dahler
2001,commentator,10/24/01,media,greta van susteren
2001,actor,10/25/01,acting,jeff bridges
2001,professor,10/3/01,academic,stephen s. morse
2001,actor,10/30/01,acting,rob morrow
2001,diplomat,10/31/01,government,richard holbrooke
2001,actress,10/4/01,acting,kate beckinsale
2001,actor,10/9/01,acting,owen wilson
2001,actor,11/1/01,acting,kevin spacey
2001,journalist,11/12/01,media,steve kroft
2001,television presenter,11/13/01,media,anne robinson
2001,american television personality,11/14/01,media,carson daly
2001,actor,11/15/01,acting,john stamos
2001,actor,11/26/01,acting,edward burns
2001,lawyer,11/27/01,misc,star jones
2001,actress,11/28/01,acting,jennifer garner
2001,journalist,11/29/01,media,david halberstam
2001,actor,11/5/01,acting,paul rudd
2001,political satirist,11/6/01,media,p. j. o'rourke
2001,white house sommunications director,11/7/01,political aide,george stephanopoulos
2001,comedian,11/8/01,comedy,jennifer saunders
2001,comedian,12/10/01,comedy,stephen colbert as al sharpton (sharpton had been the scheduled guest)
2001,comedian,12/11/01,comedy,dave gorman
2001,film actress,12/12/01,acting,janeane garofalo
2001,television actress,12/13/01,acting,tracey ullman
2001,actor,12/17/01,acting,elijah wood
2001,author,12/18/01,media,peggy noonan
2001,actor,12/19/01,acting,gary sinise
2001,actor,12/20/01,acting,jamie foxx
2001,professor,12/3/01,academic,nadine strossen
2001,telvision personality,12/4/01,media,john edward
2001,actress,12/5/01,acting,marg helgenberger
2001,actor,12/6/01,acting,ted danson
2001,actor,2/1/01,acting,tim blake nelson
2001,musician,2/12/01,musician,dave grohl
2001,muppet,2/13/01,media,kermit the frog
2001,actress,2/14/01,acting,jessica alba
2001,comedian,2/15/01,comedy,wanda sykes
2001,actor,2/20/01,acting,greg germann
2001,comedian,2/21/01,comedy,chris rock
2001,actress,2/22/01,acting,kelly ripa
2001,actor,2/26/01,acting,ted danson
2001,actor,2/27/01,acting,joe pantoliano
2001,actress,2/28/01,acting,heather locklear
2001,former united states deputy secretary of state,3/1/01,government,warren christopher
2001,actor,3/19/01,acting,chris meloni
2001,actress,3/20/01,acting,mary stuart masterson
2001,news anchor,3/21/01,media,jeff varner
2001,actor,3/22/01,acting,denis leary
2001,columnist,3/26/01,media,richard roeper
2001,comedian,3/27/01,comedy,richard lewis
2001,television actor,3/28/01,acting,mark harmon
2001,actress,3/29/01,acting,jennifer love hewitt
2001,actor,3/5/01,acting,martin short
2001,actor,3/6/01,acting,ed burns
2001,model,3/7/01,media,carmen electra
2001,actor,3/8/01,acting,javier bardem
2001,sportscaster,4/10/01,media,bob costas
2001,actor,4/11/01,acting,damon wayans
2001,television actress,4/12/01,acting,brittany daniel
2001,journalist,4/2/01,media,lisa ling
2001,television producer,4/23/01,media,don hewitt
2001,actress,4/24/01,acting,rachael leigh cook
2001,actor,4/25/01,acting,tom green
2001,actor,4/26/01,acting,tom cavanagh
2001,actress,4/3/01,acting,amy sedaris
2001,actor,4/30/01,acting,eric mccormack
2001,actor,4/4/01,acting,d.l. hughley
2001,actor,4/5/01,acting,steven weber
2001,actor,4/9/01,acting,paul reubens
2001,actor,5/1/01,acting,dominic chianese
2001,television actress,5/10/01,acting,patricia richardson
2001,film actress,5/14/01,acting,maura tierney
2001,actress,5/15/01,acting,denise quiones
2001,actor,5/16/01,acting,heath ledger
2001,former mayor of cincinatti,5/17/01,politician,jerry springer
2001,na,5/2/01,na,no guest
2001,actor,5/29/01,acting,richard schiff
2001,actor,5/3/01,acting,robert patrick
2001,film actor,5/30/01,acting,bradley whitford
2001,actress,5/31/01,acting,leah remini
2001,singer,5/7/01,musician,chris robinson
2001,actor,5/8/01,acting,james van der beek
2001,guitarist,5/9/01,musician,richie sambora
2001,journalist,6/11/01,media,joe queenan
2001,bass guitarist,6/12/01,musician,gene simmons
2001,actor,6/13/01,acting,david duchovny
2001,journalist,6/14/01,media,jeff greenfield
2001,actor,6/18/01,acting,martin short
2001,actor,6/19/01,acting,michael rapaport
2001,actor,6/20/01,acting,alec baldwin
2001,singer,6/21/01,musician,m_a
2001,actor,6/25/01,acting,sam robards
2001,stunt perfomrer,6/26/01,acting,johnny knoxville
2001,film actor,6/27/01,acting,jet li
2001,actress,6/28/01,acting,bridget fonda
2001,comedian,6/4/01,comedy,jake johannsen
2001,stand-up comedian,6/5/01,comedy,richard belzer
2001,television personality,6/6/01,media,al roker
2001,stand-up comedian,6/7/01,comedy,bernie mac
2001,pop group,7/10/01,musician,spice girls
2001,actor,7/11/01,acting,james woods
2001,actor,7/12/01,acting,vince vaughn
2001,actor,7/16/01,acting,jon favreau
2001,journalist,7/17/01,media,maria bartiromo
2001,actor,7/18/01,acting,edward norton
2001,actor,7/19/01,acting,hank azaria
2001,actor,7/23/01,acting,larry miller
2001,actor,7/24/01,acting,paul giamatti
2001,former us senator,7/25/01,politician,joe lieberman
2001,us senator,7/26/01,politician,john mccain
2001,actress,7/30/01,acting,jerri manthey
2001,film actor,7/31/01,acting,peter krause
2001,actor,7/9/01,acting,sean hayes
2001,actor,8/1/01,acting,jackie chan
2001,writer,8/13/01,media,david rakoff
2001,actor,8/14/01,acting,john carpenter
2001,actor,8/15/01,acting,seth green
2001,model,8/16/01,media,fabio
2001,film actress,8/2/01,acting,janeane garofalo
2001,actor,8/20/01,acting,cuba gooding jr.
2001,actor,8/21/01,acting,griffin dunne
2001,actor,8/22/01,acting,will ferrell
2001,screenwriter,8/23/01,media,kevin smith
2001,actress,8/6/01,acting,andie macdowell
2001,comedian,8/7/01,comedy,joe rogan
2001,model,8/8/01,media,tara reid
2001,actor,8/9/01,acting,jason biggs
2001,rock band,9/10/01,musician,they might be giants
2001,guitarist,9/11/01,musician,dave navarro
2001,essayist,9/24/01,media,frank rich
2001,broadcaster,9/25/01,media,aaron brown
2001,journalist,9/26/01,media,jeff greenfield
2001,rock duo,9/27/01,musician,tenacious d
2002,actor,1/10/02,acting,jack black
2002,journalist,1/14/02,media,lesley stahl
2002,actor,1/15/02,acting,ian mckellen
2002,actor,1/16/02,acting,colin hanks
2002,actor,1/17/02,acting,jeremy northam
2002,minister,1/21/02,clergy,al sharpton
2002,actor,1/22/02,acting,anthony lapaglia
2002,actor,1/23/02,acting,harold ramis
2002,journalist,1/24/02,media,sebastian junger
2002,journalist,1/28/02,media,ron insana
2002,novelist,1/29/02,media,elmore leonard
2002,journalist,1/30/02,media,john king
2002,actor,1/31/02,acting,jason schwartzman
2002,actress,1/8/02,acting,anjelica huston
2002,actor,1/9/02,acting,luke wilson
2002,actor,10/1/02,acting,patrick dempsey
2002,host,10/10/02,media,oliver north
2002,na,10/14/02,na,road to washington special
2002,news anchor,10/15/02,media,judy woodruff
2002,comedian,10/16/02,comedy,richard lewis
2002,actor,10/17/02,acting,greg kinnear
2002,actor,10/2/02,acting,david schwimmer
2002,former american senator,10/28/02,politician,john edwards
2002,assistant secretary of defense,10/29/02,government,victoria clarke
2002,actress,10/3/02,acting,rita wilson
2002,former assistant to the president for communications,10/30/02,political aide,pat buchanan
2002,broadcaster,10/31/02,media,ted koppel
2002,actor,10/7/02,acting,jake gyllenhaal
2002,actress,10/8/02,acting,jill hennessy
2002,journalist,10/9/02,media,peter jennings
2002,journalist,11/12/02,media,alexandra pelosi
2002,actor,11/13/02,acting,kiefer sutherland
2002,actor,11/14/02,acting,tom arnold
2002,rapper,11/18/02,musician,ja rule
2002,former us representativ,11/19/02,politician,harold ford
2002,journalist,11/20/02,media,catherine crier
2002,actor,11/21/02,acting,kevin james
2002,singer-songwriter,11/4/02,musician,christina aguilera
2002,us senator,11/5/02,politician,john mccain
2002,news anchor,11/6/02,media,candy crowley
2002,singer-songwriter,11/7/02,musician,jakob dylan
2002,journalist,12/10/02,media,tom brokaw
2002,actress,12/11/02,acting,sandra bullock
2002,actress,12/12/02,acting,anna paquin
2002,us senator,12/16/02,politician,charles schumer
2002,basketball player,12/17/02,athletics,charles barkley
2002,actor,12/18/02,acting,edward norton
2002,actor,12/19/02,acting,john cusack
2002,actor,12/2/02,acting,andy richter
2002,editor,12/3/02,media,katrina vanden heuvel
2002,stand-up comedian,12/4/02,comedy,colin quinn
2002,actor,12/5/02,acting,rob schneider
2002,former vice president,12/9/02,politician,al gore
2002,actor,2/11/02,acting,scott bakula
2002,television personality,2/12/02,media,john stossel
2002,activist,2/13/02,advocacy,ralph nader
2002,actress,2/14/02,acting,rebecca romijn
2002,actress,2/19/02,acting,jeri ryan
2002,editor,2/20/02,media,bethany mclean
2002,filmmaker,2/21/02,media,michael moore
2002,film director,2/4/02,media,ron howard
2002,commentator,2/5/02,media,greta van susteren
2002,rapper,2/6/02,musician,ll cool j
2002,singer-songwriter,2/7/02,musician,barry manilow
2002,actress,3/11/02,acting,bea arthur
2002,actor,3/12/02,acting,denis leary
2002,journalist,3/13/02,media,joe klein
2002,television host,3/14/02,media,bill o'reilly
2002,actor,3/18/02,acting,andy richter
2002,us senator,3/19/02,politician,john mccain
2002,actor,3/20/02,acting,john leguizamo
2002,actor,3/21/02,acting,aidan quinn
2002,journalist,3/4/02,media,david remnick
2002,comedian,3/5/02,comedy,richard lewis
2002,actress,3/6/02,acting,milla jovovich
2002,actor,3/7/02,acting,tom arnold
2002,journalist,4/1/02,media,paula zahn
2002,actress,4/10/02,acting,patricia arquette
2002,rock band,4/11/02,musician,the goo goo dolls
2002,actor,4/15/02,acting,samuel l. jackson
2002,editor,4/16/02,media,lisa beyer
2002,model,4/17/02,media,tara reid
2002,actor,4/18/02,acting,richard dreyfuss
2002,journalist,4/2/02,media,david brock
2002,actor,4/22/02,acting,michael clarke duncan
2002,actor,4/23/02,acting,beau bridges
2002,singer-songwriter,4/24/02,musician,elvis costello
2002,journalist,4/25/02,media,h.w. crocker iii
2002,editor,4/29/02,media,susan caskie
2002,actor,4/3/02,acting,jon favreau
2002,singer-songwriter,4/30/02,musician,alanis morissette
2002,actress,4/4/02,acting,ashley judd
2002,actor,4/8/02,acting,tony danza
2002,news anchor,4/9/02,media,judy woodruff
2002,broadcaster,5/1/02,media,robin roberts
2002,singer-songwriter,5/13/02,musician,moby
2002,actor,5/14/02,acting,liev schreiber
2002,actor,5/15/02,acting,rupert everett
2002,actress,5/16/02,acting,allison janney
2002,actor,5/2/02,acting,willem dafoe
2002,na,5/23/02,na,matt walsh goes to hawaii
2002,actor,5/6/02,acting,simon baker
2002,writer,5/7/02,media,mark bowden
2002,actress,5/8/02,acting,diane lane
2002,actor,5/9/02,acting,david boreanaz
2002,actor,6/11/02,acting,val kilmer
2002,former mayor of new york city,6/12/02,politician,michael bloomberg
2002,author,6/13/02,media,joseph cirincione
2002,actor,6/17/02,acting,freddie prinze jr.
2002,actor,6/18/02,acting,christian slater
2002,journalist,6/19/02,media,cynthia mcfadden
2002,stand-up comedian,6/20/02,comedy,david cross bob odenkirk
2002,actor,6/20/02,acting,david cross bob odenkirk
2002,actor,6/24/02,acting,colin farrell
2002,lawyer,6/25/02,misc,david scheffer
2002,actor,6/26/02,acting,paul sorvino
2002,soccer player,6/27/02,athletics,clint mathis
2002,actor,6/3/02,acting,colin firth
2002,journalist,6/4/02,media,ashleigh banfield
2002,actor,6/6/02,acting,charles grodin
2002,rapper,7/10/02,musician,busta rhymes
2002,television personality,7/11/02,media,steve irwin
2002,actor,7/15/02,acting,john ritter
2002,actress,7/16/02,acting,michelle williams
2002,commentator,7/17/02,media,ann coulter
2002,actress,7/18/02,acting,natasha henstridge
2002,actor,7/22/02,acting,regis philbin
