country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
turkey,51,22,7,1.4
turkmenistan,19,71,32,2.2
tuvalu,6,41,9,1.0
uganda,45,9,0,8.3
ukraine,206,237,45,8.9
united arab emirates,16,135,5,2.8
united kingdom,219,126,195,10.4
tanzania,36,6,1,5.7
usa,249,158,84,8.7
uruguay,115,35,220,6.6
uzbekistan,25,101,8,2.4
vanuatu,21,18,11,0.9
venezuela,333,100,3,7.7
vietnam,111,2,1,2.0
yemen,6,0,0,0.1
zambia,32,19,4,2.5
zimbabwe,64,18,4,4.7
