competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
mr good bar,1,0,0,1,0,0,0,1,0,.31299999,.91799998,54.526451
nerds,0,1,0,0,0,0,1,0,1,.84799999,.32499999,55.354046
nestle butterfinger,1,0,0,1,0,0,0,1,0,.60399997,.76700002,70.735641
nestle crunch,1,0,0,0,0,1,0,1,0,.31299999,.76700002,66.47068
nik l nip,0,1,0,0,0,0,0,0,1,.197,.97600001,22.445341
now & later,0,1,0,0,0,0,0,0,1,.22,.32499999,39.4468
payday,0,0,0,1,1,0,0,1,0,.465,.76700002,46.296597
peanut m&ms,1,0,0,1,0,0,0,0,1,.59299999,.65100002,69.483788
pixie sticks,0,0,0,0,0,0,0,0,1,.093000002,.023,37.722336
pop rocks,0,1,0,0,0,0,1,0,1,.60399997,.83700001,41.265511
red vines,0,1,0,0,0,0,0,0,1,.58099997,.116,37.348522
reeses miniatures,1,0,0,1,0,0,0,0,0,.034000002,.27900001,81.866257
reeses peanut butter cup,1,0,0,1,0,0,0,0,0,.72000003,.65100002,84.18029
reeses pieces,1,0,0,1,0,0,0,0,1,.40599999,.65100002,73.43499
reeses stuffed with pieces,1,0,0,1,0,0,0,0,0,.98799998,.65100002,72.887901
ring pop,0,1,0,0,0,0,1,0,0,.73199999,.96499997,35.290756
rolo,1,0,1,0,0,0,0,0,1,.86000001,.86000001,65.716286
root beer barrels,0,0,0,0,0,0,1,0,1,.73199999,.068999998,29.703691
runts,0,1,0,0,0,0,1,0,1,.87199998,.27900001,42.849144
sixlets,1,0,0,0,0,0,0,0,1,.22,.081,34.722
skittles original,0,1,0,0,0,0,0,0,1,.94099998,.22,63.08514
skittles wildberry,0,1,0,0,0,0,0,0,1,.94099998,.22,55.103695
nestle smarties,1,0,0,0,0,0,0,0,1,.26699999,.97600001,37.887188
smarties candy,0,1,0,0,0,0,1,0,1,.26699999,.116,45.995827
snickers,1,0,1,1,1,0,0,1,0,.546,.65100002,76.673782
snickers crisper,1,0,1,1,0,1,0,1,0,.60399997,.65100002,59.529251
sour patch kids,0,1,0,0,0,0,0,0,1,.068999998,.116,59.863998
sour patch tricksters,0,1,0,0,0,0,0,0,1,.068999998,.116,52.825947
starburst,0,1,0,0,0,0,0,0,1,.15099999,.22,67.037628
strawberry bon bons,0,1,0,0,0,0,1,0,1,.56900001,.057999998,34.578991
sugar babies,0,0,1,0,0,0,0,0,1,.96499997,.76700002,33.43755
sugar daddy,0,0,1,0,0,0,0,0,0,.41800001,.32499999,32.230995
super bubble,0,1,0,0,0,0,0,0,0,.162,.116,27.303865
swedish fish,0,1,0,0,0,0,0,0,1,.60399997,.755,54.861111
tootsie pop,1,1,0,0,0,0,1,0,0,.60399997,.32499999,48.982651
tootsie roll juniors,1,0,0,0,0,0,0,0,0,.31299999,.51099998,43.068897
tootsie roll midgies,1,0,0,0,0,0,0,0,1,.17399999,.011,45.736748
tootsie roll snack bars,1,0,0,0,0,0,0,1,0,.465,.32499999,49.653503
trolli sour bites,0,1,0,0,0,0,0,0,1,.31299999,.255,47.173229
twix,1,0,1,0,0,1,0,1,0,.546,.90600002,81.642914
twizzlers,0,1,0,0,0,0,0,0,0,.22,.116,45.466282
warheads,0,1,0,0,0,0,1,0,0,.093000002,.116,39.011898
welchs fruit snacks,0,1,0,0,0,0,0,0,1,.31299999,.31299999,44.375519
werthers original caramel,0,0,1,0,0,0,1,0,0,.186,.26699999,41.904308
whoppers,1,0,0,0,0,1,0,0,1,.87199998,.84799999,49.524113
