page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year
2223,kurt wagner (earth-616),\/kurt_wagner_(earth-616),secret identity,good characters,yellow eyes,blue hair,male characters,,living characters,1047,may-75,1975
2414,vision (earth-616),\/vision_(earth-616),secret identity,good characters,gold eyes,no hair,male characters,,living characters,1007,oct-68,1968
8650,may reilly (earth-616),\/may_reilly_(earth-616),no dual identity,good characters,blue eyes,grey hair,female characters,,living characters,1000,aug-62,1962
2527,katherine pryde (earth-616),\/katherine_pryde_(earth-616),secret identity,good characters,hazel eyes,brown hair,female characters,,living characters,886,jan-80,1980
1970,carol danvers (earth-616),\/carol_danvers_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,living characters,881,mar-68,1968
37690,jennifer walters (earth-616),\/jennifer_walters_(earth-616),public identity,good characters,green eyes,brown hair,female characters,,living characters,881,feb-80,1980
3765,emma frost (earth-616),\/emma_frost_(earth-616),public identity,neutral characters,blue eyes,brown hair,female characters,,living characters,880,jan-80,1980
2312,frank castle (earth-616),\/frank_castle_(earth-616),public identity,neutral characters,blue eyes,black hair,male characters,,living characters,878,feb-74,1974
1265,luke cage (earth-616),\/luke_cage_(earth-616),no dual identity,good characters,brown eyes,black hair,male characters,,living characters,856,jun-72,1972
1677,rogue (anna marie) (earth-616),\/rogue_(anna_marie)_(earth-616),secret identity,good characters,green eyes,auburn hair,female characters,,living characters,850,,
25222,conan (earth-616),\/conan_(earth-616),no dual identity,neutral characters,blue eyes,black hair,male characters,,living characters,787,oct-70,1970
6537,joseph robertson (earth-616),\/joseph_robertson_(earth-616),no dual identity,good characters,brown eyes,white hair,male characters,,living characters,752,aug-67,1967
1592,pietro maximoff (earth-616),\/pietro_maximoff_(earth-616),public identity,good characters,blue eyes,silver hair,male characters,,living characters,740,mar-64,1964
1818,hercules (earth-616),\/hercules_(earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,bisexual characters,living characters,725,oct-65,1965
1448,victor von doom (earth-616),\/victor_von_doom_(earth-616),public identity,bad characters,brown eyes,brown hair,male characters,,living characters,721,jul-62,1962
2081,max eisenhardt (earth-616),\/max_eisenhardt_(earth-616),public identity,neutral characters,grey eyes,bald,male characters,,living characters,709,sep-63,1963
2307,elizabeth braddock (earth-616),\/elizabeth_braddock_(earth-616),secret identity,neutral characters,blue eyes,purple hair,female characters,bisexual characters,living characters,708,dec-76,1976
2556,norrin radd (earth-616),\/norrin_radd_(earth-616),public identity,good characters,blue eyes,bald,male characters,,living characters,696,mar-66,1966
1740,norman osborn (earth-616),\/norman_osborn_(earth-616),public identity,bad characters,blue eyes,auburn hair,male characters,,living characters,692,jul-64,1964
8651,eugene thompson (earth-616),\/eugene_thompson_(earth-616),secret identity,good characters,blue eyes,strawberry blond hair,male characters,,living characters,689,aug-62,1962
2009,simon williams (earth-616),\/simon_williams_(earth-616),public identity,good characters,red eyes,grey hair,male characters,,living characters,686,oct-64,1964
1276,samuel guthrie (earth-616),\/samuel_guthrie_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,657,nov-82,1982
15823,james buchanan barnes (earth-616),\/james_buchanan_barnes_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,641,mar-41,1941
1680,remy lebeau (earth-616),\/remy_lebeau_(earth-616),secret identity,good characters,black eyeballs,brown hair,male characters,,living characters,636,jul-90,1990
1866,daniel rand (earth-616),\/daniel_rand_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,618,may-74,1974
32498,nathan summers (earth-616),\/nathan_summers_(earth-616),public identity,neutral characters,blue eyes,white hair,male characters,,living characters,612,jan-86,1986
1772,elizabeth brant (earth-616),\/elizabeth_brant_(earth-616),no dual identity,good characters,brown eyes,brown hair,female characters,,living characters,599,sep-63,1963
1896,richard jones (earth-616),\/richard_jones_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,590,may-62,1962
1496,edwin jarvis (earth-616),\/edwin_jarvis_(earth-616),no dual identity,good characters,blue eyes,white hair,male characters,,living characters,567,nov-64,1964
1802,alexander summers (earth-616),\/alexander_summers_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,558,mar-69,1969
1811,patricia walker (earth-616),\/patricia_walker_(earth-616),secret identity,good characters,blue eyes,red hair,female characters,,living characters,550,nov-44,1944
1836,human torch (android) (earth-616),\/human_torch_(android)_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,548,oct-39,1939
2042,loki laufeyson (earth-616),\/loki_laufeyson_(earth-616),no dual identity,neutral characters,green eyes,black hair,genderfluid characters,bisexual characters,living characters,532,aug-49,1949
1643,franklin nelson (earth-616),\/franklin_nelson_(earth-616),no dual identity,good characters,blue eyes,bald,male characters,,living characters,528,apr-64,1964
1285,brian braddock (earth-616),\/brian_braddock_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,528,oct-76,1976
1453,otto octavius (earth-616),\/otto_octavius_(earth-616),secret identity,neutral characters,hazel eyes,brown hair,male characters,,deceased characters,526,jul-63,1963
6194,james rhodes (earth-616),\/james_rhodes_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,525,jan-79,1979
1487,timothy dugan (earth-616),\/timothy_dugan_(earth-616),public identity,good characters,blue eyes,red hair,male characters,,deceased characters,517,may-63,1963
1380,crystalia amaquelin (earth-616),\/crystalia_amaquelin_(earth-616),public identity,good characters,green eyes,strawberry blond hair,female characters,,living characters,512,dec-65,1965
1613,samuel wilson (earth-616),\/samuel_wilson_(earth-616),public identity,good characters,brown eyes,black hair,male characters,,living characters,512,sep-69,1969
1931,wilson fisk (earth-616),\/wilson_fisk_(earth-616),public identity,bad characters,blue eyes,bald,male characters,,living characters,503,jul-67,1967
1596,odin borson (earth-616),\/odin_borson_(earth-616),public identity,neutral characters,blue eyes,white hair,male characters,,living characters,502,oct-62,1962
1409,deadpool (wade wilson),\/deadpool_(wade_wilson),secret identity,neutral characters,brown eyes,bald,male characters,transvestites,living characters,500,feb-91,1991
1187,dane whitman (earth-616),\/dane_whitman_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,478,dec-67,1967
1741,harold osborn (earth-616),\/harold_osborn_(earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,,living characters,474,dec-65,1965
68416,franklin richards (earth-616),\/franklin_richards_(earth-616),no dual identity,good characters,blue eyes,blond hair,male characters,,living characters,473,nov-68,1968
2589,jessica drew (earth-616),\/jessica_drew_(earth-616),secret identity,good characters,green eyes,auburn hair,female characters,,living characters,471,feb-77,1977
2626,roberto da costa (earth-616),\/roberto_da_costa_(earth-616),secret identity,good characters,brown eyes,black hair,male characters,,living characters,464,nov-82,1982
2007,rahne sinclair (earth-616),\/rahne_sinclair_(earth-616),secret identity,good characters,green eyes,red hair,female characters,,living characters,448,nov-82,1982
1130,elizabeth ross (earth-616),\/elizabeth_ross_(earth-616),public identity,good characters,blue eyes,black hair,female characters,,living characters,446,may-62,1962
2278,lorna dane (earth-616),\/lorna_dane_(earth-616),secret identity,good characters,green eyes,green hair,female characters,,living characters,433,oct-68,1968
67048,blaine colt (earth-616),\/blaine_colt_(earth-616),public identity,,blue eyes,blond hair,male characters,,deceased characters,429,,
1705,johnathon blaze (earth-616),\/johnathon_blaze_(earth-616),secret identity,good characters,blue eyes,reddish blond hair,male characters,,living characters,426,aug-72,1972
2550,sif (earth-616),\/sif_(earth-616),no dual identity,good characters,blue eyes,black hair,female characters,,living characters,422,mar-64,1964
2365,red hulk (thaddeus ross),\/red_hulk_(thaddeus_ross),public identity,neutral characters,blue eyes,black hair,male characters,,living characters,415,may-62,1962
1900,jubilation lee (earth-616),\/jubilation_lee_(earth-616),secret identity,good characters,brown eyes,black hair,female characters,,living characters,408,may-89,1989
2420,volstagg (earth-616),\/volstagg_(earth-616),public identity,good characters,blue eyes,red hair,male characters,,living characters,406,aug-65,1965
1127,balder odinson (earth-616),\/balder_odinson_(earth-616),secret identity,good characters,blue eyes,brown hair,male characters,,deceased characters,403,oct-62,1962
1676,galactus (earth-616),\/galactus_(earth-616),secret identity,neutral characters,brown eyes,no hair,male characters,,living characters,390,mar-66,1966
1395,danielle moonstar (earth-616),\/danielle_moonstar_(earth-616),secret identity,good characters,brown eyes,black hair,female characters,,living characters,388,nov-82,1982
2183,marc spector (earth-616),\/marc_spector_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,387,aug-75,1975
1782,gwendolyne stacy (earth-616),\/gwendolyne_stacy_(earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,,deceased characters,384,dec-65,1965
2137,medusalith amaquelin (earth-616),\/medusalith_amaquelin_(earth-616),public identity,good characters,green eyes,red hair,female characters,,living characters,382,mar-65,1965
2374,sabretooth (victor creed),\/sabretooth_(victor_creed),secret identity,bad characters,amber eyes,blond hair,male characters,,living characters,382,aug-77,1977
2077,illyana rasputina (earth-616),\/illyana_rasputina_(earth-616),secret identity,neutral characters,blue eyes,blond hair,female characters,,living characters,380,may-75,1975
2344,johann shmidt (earth-616),\/johann_shmidt_(earth-616),public identity,bad characters,blue eyes,blond hair,male characters,,deceased characters,376,aug-41,1941
1616,fandral (earth-616),\/fandral_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,deceased characters,375,aug-65,1965
1131,sean cassidy (earth-616),\/sean_cassidy_(earth-616),secret identity,neutral characters,green eyes,strawberry blond hair,male characters,,living characters,374,jan-67,1967
2487,thomas raymond (earth-616),\/thomas_raymond_(earth-616),secret identity,good characters,blue eyes,black hair,male characters,,living characters,373,sep-40,1940
1572,uatu (earth-616),\/uatu_(earth-616),public identity,good characters,blue eyes,bald,male characters,,deceased characters,373,apr-63,1963
2239,richard rider (earth-616),\/richard_rider_(earth-616),public identity,good characters,brown eyes,brown hair,male characters,,deceased characters,373,sep-76,1976
1827,hogun (earth-616),\/hogun_(earth-616),public identity,good characters,grey eyes,black hair,male characters,,living characters,371,aug-65,1965
55878,raven darkholme (earth-616),\/raven_darkholme_(earth-616),secret identity,bad characters,yellow eyes,red hair,female characters,bisexual characters,living characters,371,apr-78,1978
2173,barbara morse (earth-616),\/barbara_morse_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,368,jun-71,1971
1179,blackagar boltagon (earth-616),\/blackagar_boltagon_(earth-616),no dual identity,good characters,blue eyes,black hair,male characters,,living characters,366,dec-65,1965
2392,brunnhilde (earth-616),\/brunnhilde_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,361,dec-70,1970
1404,alison blaire (earth-616),\/alison_blaire_(earth-616),public identity,good characters,blue eyes,strawberry blond hair,female characters,,living characters,353,feb-80,1980
18186,venom (symbiote) (earth-616),\/venom_(symbiote)_(earth-616),known to authorities identity,neutral characters,variable eyes,no hair,agender characters,,living characters,348,may-84,1984
1586,john walker (earth-616),\/john_walker_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,346,nov-86,1986
2440,greer grant (earth-616),\/greer_grant_(earth-616),public identity,good characters,green eyes,black hair,female characters,,living characters,342,nov-72,1972
2185,karla sofen (earth-616),\/karla_sofen_(earth-616),public identity,neutral characters,blue eyes,blond hair,female characters,,living characters,340,dec-75,1975
2382,william baker (earth-616),\/william_baker_(earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,,living characters,338,sep-63,1963
1300,sharon carter (earth-616),\/sharon_carter_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,living characters,332,mar-66,1966
1180,felicia hardy (earth-616),\/felicia_hardy_(earth-616),public identity,bad characters,,blond hair,female characters,,living characters,332,jul-79,1979
1901,cain marko (earth-616),\/cain_marko_(earth-616),public identity,neutral characters,blue eyes,red hair,male characters,,living characters,329,jul-65,1965
37751,monica rambeau (earth-616),\/monica_rambeau_(earth-616),secret identity,good characters,brown eyes,black hair,female characters,,living characters,327,,
20978,maria hill (earth-616),\/maria_hill_(earth-616),no dual identity,good characters,brown eyes,black hair,female characters,,living characters,325,apr-05,2005
1161,ben urich (earth-616),\/ben_urich_(earth-616),no dual identity,good characters,brown eyes,brown hair,male characters,,living characters,324,jul-78,1978
2182,heather douglas (earth-616),\/heather_douglas_(earth-616),secret identity,good characters,blue eyes,bald,female characters,bisexual characters,living characters,323,jan-73,1973
100209,millicent collins (earth-616),\/millicent_collins_(earth-616),public identity,,blue eyes,blond hair,female characters,,living characters,321,dec-45,1945
1973,james proudstar (earth-616),\/james_proudstar_(earth-616),secret identity,good characters,brown eyes,black hair,male characters,,living characters,320,jun-84,1984
1633,angelica jones (earth-616),\/angelica_jones_(earth-616),known to authorities identity,good characters,green eyes,red hair,female characters,,living characters,319,may-85,1985
11857,edward brock (earth-616),\/edward_brock_(earth-616),public identity,neutral characters,black eyes,blond hair,male characters,,living characters,318,sep-86,1986
2513,macdonald gargan (earth-616),\/macdonald_gargan_(earth-616),secret identity,bad characters,brown eyes,bald,male characters,,living characters,317,dec-64,1964
2146,mephisto (earth-616),\/mephisto_(earth-616),no dual identity,bad characters,white eyes,black hair,male characters,,living characters,316,dec-68,1968
7630,tabitha smith (earth-616),\/tabitha_smith_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,316,nov-85,1985
2238,jean-paul beaubier (earth-616),\/jean-paul_beaubier_(earth-616),secret identity,good characters,blue eyes,black hair,male characters,homosexual characters,living characters,313,apr-79,1979
1706,daniel ketch (earth-616),\/daniel_ketch_(earth-616),secret identity,neutral characters,green eyes,brown hair,male characters,,living characters,311,may-90,1990
1460,neena thurman (earth-616),\/neena_thurman_(earth-616),secret identity,good characters,blue eyes,black hair,female characters,,living characters,310,mar-92,1992
2010,wong (earth-616),\/wong_(earth-616),no dual identity,good characters,brown eyes,bald,male characters,,living characters,306,jul-63,1963
2456,thanos (earth-616),\/thanos_(earth-616),no dual identity,bad characters,red eyes,no hair,male characters,,living characters,306,feb-73,1973
15282,shang-chi (earth-616),\/shang-chi_(earth-616),no dual identity,good characters,brown eyes,black hair,male characters,,living characters,296,dec-73,1973
4704,alicia masters (earth-616),\/alicia_masters_(earth-616),no dual identity,good characters,brown eyes,strawberry blond hair,female characters,,living characters,293,nov-62,1962
5708,robert baldwin (earth-616),\/robert_baldwin_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,293,sep-88,1988
1902,vance astrovik (earth-616),\/vance_astrovik_(earth-616),public identity,good characters,hazel eyes,brown hair,male characters,,living characters,290,jul-75,1975
6633,wendell vaughn (earth-616),\/wendell_vaughn_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,290,jan-78,1978
100716,chili storm (earth-616),\/chili_storm_(earth-616),public identity,,green eyes,red hair,female characters,homosexual characters,living characters,284,oct-48,1948
4565,abner jenkins (earth-616),\/abner_jenkins_(earth-616),public identity,good characters,brown eyes,brown hair,male characters,,living characters,284,aug-64,1964
1505,elektra natchios (earth-616),\/elektra_natchios_(earth-616),secret identity,neutral characters,blue eyes,black hair,female characters,,living characters,280,jan-81,1981
1256,bullseye (lester) (earth-616),\/bullseye_(lester)_(earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,,living characters,277,mar-76,1976
119507,forge (earth-616),\/forge_(earth-616),public identity,good characters,brown eyes,black hair,male characters,,living characters,276,aug-84,1984
9106,virginia potts (earth-616),\/virginia_potts_(earth-616),no dual identity,good characters,green eyes,red hair,female characters,,living characters,274,sep-63,1963
2383,walter langkowski (earth-616),\/walter_langkowski_(earth-616),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,273,apr-79,1979
1733,gorgon (earth-616),\/gorgon_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,272,nov-65,1965
37689,james madrox (earth-616),\/james_madrox_(earth-616),public identity,good characters,brown eyes,brown hair,male characters,,living characters,271,feb-75,1975
1808,heimdall (earth-616),\/heimdall_(earth-616),secret identity,good characters,grey eyes,brown hair,male characters,,living characters,270,oct-62,1962
2558,theresa cassidy (earth-616),\/theresa_cassidy_(earth-616),secret identity,good characters,green eyes,red hair,female characters,,living characters,267,apr-81,1981
1565,laura kinney (earth-616),\/laura_kinney_(earth-616),secret identity,good characters,green eyes,black hair,female characters,,living characters,265,feb-04,2004
33447,arthur douglas (earth-616),\/arthur_douglas_(earth-616),secret identity,good characters,blue eyes,brown hair,male characters,,living characters,264,feb-73,1973
2511,peter parker (ben reilly) (earth-616),\/peter_parker_(ben_reilly)_(earth-616),secret identity,good characters,hazel eyes,blond hair,male characters,,deceased characters,263,oct-75,1975
1971,warlock (technarch) (earth-616),\/warlock_(technarch)_(earth-616),secret identity,good characters,black eyes,no hair,male characters,,living characters,261,aug-84,1984
1903,kevin plunder (earth-616),\/kevin_plunder_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,living characters,260,mar-65,1965
1445,leonard samson (earth-616),\/leonard_samson_(earth-616),public identity,good characters,brown eyes,green hair,male characters,,deceased characters,260,jul-71,1971
2582,melissa gold (earth-616),\/melissa_gold_(earth-616),secret identity,good characters,green eyes,blond hair,female characters,,living characters,260,aug-79,1979
2037,lockheed (earth-616),\/lockheed_(earth-616),secret identity,good characters,,no hair,male characters,,living characters,260,feb-83,1983
1935,mercedes knight (earth-616),\/mercedes_knight_(earth-616),public identity,good characters,brown eyes,black hair,female characters,,living characters,259,mar-72,1972
2060,moira kinross (earth-616),\/moira_kinross_(earth-616),no dual identity,good characters,blue eyes,brown hair,female characters,,deceased characters,259,dec-75,1975
1915,karnak (earth-616),\/karnak_(earth-616),secret identity,good characters,blue eyes,black hair,male characters,,deceased characters,257,dec-65,1965
2204,namorita prentiss (earth-616),\/namorita_prentiss_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,deceased characters,257,jun-72,1972
2038,lockjaw (earth-616),\/lockjaw_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,,living characters,255,dec-65,1965
1029,adam warlock (earth-616),\/adam_warlock_(earth-616),no dual identity,good characters,white eyes,gold hair,male characters,,living characters,252,sep-67,1967
2407,heather mcneil (earth-616),\/heather_mcneil_(earth-616),public identity,neutral characters,green eyes,red hair,female characters,,living characters,252,nov-80,1980
2034,curtis connors (earth-616),\/curtis_connors_(earth-616),public identity,neutral characters,red eyes,no hair,male characters,,living characters,250,nov-63,1963
2097,theodore sallis (earth-616),\/theodore_sallis_(earth-616),secret identity,good characters,red eyes,no hair,male characters,,living characters,249,may-71,1971
2421,adrian toomes (earth-616),\/adrian_toomes_(earth-616),public identity,bad characters,hazel eyes,bald,male characters,,living characters,248,may-63,1963
1514,amora (earth-616),\/amora_(earth-616),public identity,bad characters,green eyes,blond hair,female characters,,living characters,247,apr-64,1964
1335,clea (earth-616),\/clea_(earth-616),no dual identity,good characters,blue eyes,white hair,female characters,,living characters,247,nov-64,1964
1289,mar-vell (earth-616),\/mar-vell_(earth-616),public identity,good characters,blue eyes,blond hair,male characters,,deceased characters,245,dec-67,1967
2309,eugene judd (earth-616),\/eugene_judd_(earth-616),public identity,good characters,brown eyes,bald,male characters,,living characters,245,aug-83,1983
1813,daimon hellstrom (earth-616),\/daimon_hellstrom_(earth-616),no dual identity,neutral characters,red eyes,red hair,male characters,,living characters,242,sep-73,1973
76396,john jonah jameson iii (earth-616),\/john_jonah_jameson_iii_(earth-616),no dual identity,good characters,brown eyes,auburn hair,male characters,,living characters,240,mar-63,1963
2497,triton (earth-616),\/triton_(earth-616),no dual identity,good characters,green eyes,no hair,male characters,,living characters,240,dec-65,1965
2138,meggan puceanu (earth-616),\/meggan_puceanu_(earth-616),secret identity,good characters,,,female characters,,living characters,240,dec-83,1983
6517,robert reynolds (earth-616),\/robert_reynolds_(earth-616),secret identity,neutral characters,blue eyes,blond hair,male characters,,living characters,240,sep-00,2000
2351,aleksei sytsevich (earth-616),\/aleksei_sytsevich_(earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,,deceased characters,239,oct-66,1966
15903,santo vaccarro (earth-616),\/santo_vaccarro_(earth-616),secret identity,good characters,white eyes,no hair,male characters,,living characters,238,sep-03,2003
2335,jonathan clay (earth-616),\/jonathan_clay_(earth-616),secret identity,good characters,blue eyes,red hair,male characters,homosexual characters,living characters,237,aug-60,1960
1095,ares (earth-616),\/ares_(earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,,deceased characters,236,apr-49,1949
2523,sersi (earth-616),\/sersi_(earth-616),secret identity,good characters,blue eyes,black hair,female characters,,living characters,236,sep-76,1976
2617,guido carosella (earth-616),\/guido_carosella_(earth-616),secret identity,neutral characters,brown eyes,bald,male characters,,living characters,236,jul-85,1985
1533,zabu (earth-616),\/zabu_(earth-616),public identity,good characters,green eyes,orange hair,male characters,,living characters,234,mar-65,1965
2186,michael morbius (earth-616),\/michael_morbius_(earth-616),secret identity,neutral characters,red eyes,black hair,male characters,,living characters,231,oct-71,1971
2353,julio richter (earth-616),\/julio_richter_(earth-616),secret identity,good characters,brown eyes,brown hair,male characters,homosexual characters,living characters,231,jun-87,1987
15511,phoenix force (earth-616),\/phoenix_force_(earth-616),secret identity,neutral characters,,no hair,,,deceased characters,229,oct-76,1976
15907,megan gwynn (earth-616),\/megan_gwynn_(earth-616),public identity,good characters,black eyeballs,pink hair,female characters,,living characters,229,nov-04,2004
2724,kyle richmond (earth-616),\/kyle_richmond_(earth-616),secret identity,good characters,brown eyes,auburn hair,male characters,,living characters,227,oct-69,1969
1911,karen page (earth-616),\/karen_page_(earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,,deceased characters,226,apr-64,1964
1336,tyrone johnson (earth-616),\/tyrone_johnson_(earth-616),secret identity,good characters,brown eyes,black hair,male characters,,living characters,226,mar-82,1982
1503,maxwell dillon (earth-616),\/maxwell_dillon_(earth-616),public identity,bad characters,blue eyes,auburn hair,male characters,,living characters,225,feb-64,1964
1356,valerie cooper (earth-616),\/valerie_cooper_(earth-616),public identity,good characters,blue eyes,blond hair,female characters,,living characters,225,dec-83,1983
8844,anna may (earth-616),\/anna_may_(earth-616),no dual identity,good characters,blue eyes,white hair,female characters,,living characters,224,aug-64,1964
1471,vlad dracula (earth-616),\/vlad_dracula_(earth-616),no dual identity,bad characters,red eyes,white hair,male characters,,living characters,223,mar-51,1951
1389,tandy bowen (earth-616),\/tandy_bowen_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,222,mar-82,1982
2054,monet st. croix (earth-616),\/monet_st._croix_(earth-616),no dual identity,good characters,brown eyes,black hair,female characters,,living characters,221,nov-94,1994
1684,gamora (earth-616),\/gamora_(earth-616),no dual identity,neutral characters,yellow eyes,black hair,female characters,,living characters,218,jun-75,1975
10174,amara aquilla (earth-616),\/amara_aquilla_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,217,oct-83,1983
2590,julia carpenter (earth-616),\/julia_carpenter_(earth-616),secret identity,good characters,blue eyes,strawberry blond hair,female characters,,living characters,212,oct-84,1984
1654,jane foster (earth-616),\/jane_foster_(earth-616),no dual identity,good characters,blue eyes,brown hair,female characters,,living characters,211,sep-62,1962
2482,mortimer toynbee (earth-616),\/mortimer_toynbee_(earth-616),secret identity,neutral characters,black eyes,brown hair,male characters,,living characters,210,mar-64,1964
1080,scott lang (earth-616),\/scott_lang_(earth-616),public identity,good characters,blue eyes,strawberry blond hair,male characters,,living characters,209,mar-79,1979
1840,paige guthrie (earth-616),\/paige_guthrie_(earth-616),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,207,nov-84,1984
8648,benjamin parker (earth-616),\/benjamin_parker_(earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,,deceased characters,205,aug-62,1962
1117,erik josten (earth-616),\/erik_josten_(earth-616),secret identity,good characters,brown eyes,red hair,male characters,,living characters,204,oct-65,1965
