name,year,team,league,goose_eggs,broken_eggs,mehs,league_average_gpct,ppf,replacement_gpct,gwar,key_retro
dixie leverett,1922,cha,al,4,0,0,0.7170418,100,0.6820418,0.6613531,leved101
ferdie schupp,1922,cha,al,5,0,3,0.7170418,100,0.6820418,0.8266914,schuf102
guy morton,1922,cle,al,4,1,1,0.7170418,100,0.6820418,0.3066914,mortg101
urban shocker,1922,sla,al,5,2,3,0.7128418,103,0.6778418,0.132656,shocu101
chief youngblood,1922,ws1,al,0,0,0,0.7226418,96,0.6876417,,younc101
ray kolp,1922,sla,al,1,1,1,0.7128418,103,0.6778418,-0.1849554,kolpr101
dutch henry,1922,sla,al,0,0,0,0.7128418,103,0.6778418,,henrd101
dave keefe,1922,cle,al,1,1,0,0.7170418,100,0.6820418,-0.1893234,keefd101
jose acosta,1922,cha,al,1,3,0,0.7170418,100,0.6820418,-0.8986469,acosj101
jim bagby,1922,cle,al,5,0,0,0.7170418,100,0.6820418,0.8266914,bagbj101
tom zachary,1922,ws1,al,4,0,1,0.7226418,96,0.6876417,0.6497052,zacht101
dan boone,1922,cle,al,0,0,1,0.7170418,100,0.6820418,,boond102
jim lindsey,1922,cle,al,10,3,0,0.7170418,100,0.6820418,0.5893978,lindj102
stan coveleski,1922,cle,al,3,0,0,0.7170418,100,0.6820418,0.4960148,coves101
carl mays,1922,nya,al,2,1,1,0.7198418,98,0.6848418,-0.0283531,maysc101
lum davenport,1922,cha,al,2,1,0,0.7170418,100,0.6820418,-0.0239851,davel101
allen sothoron,1922,cle,al,0,1,0,0.7170418,100,0.6820418,-0.3546617,sotha101
doug mcweeny,1922,cha,al,0,0,0,0.7170418,100,0.6820418,,mcwed101
syl johnson,1922,det,al,2,0,0,0.7226418,96,0.6876417,0.3248526,johns101
dave danforth,1922,sla,al,1,0,0,0.7128418,103,0.6778418,0.1675223,danfd101
gus ketchum,1922,pha,al,1,1,0,0.7100418,105,0.6750417,-0.1820434,ketcg101
ted odenwald,1922,cle,al,0,0,0,0.7170418,100,0.6820418,,odent101
ray francis,1922,ws1,al,2,0,0,0.7226418,96,0.6876417,0.3248526,franr101
eddie rommel,1922,pha,al,10,3,2,0.7100418,105,0.6750417,0.636718,romme101
tom phillips,1922,ws1,al,0,0,0,0.7226418,96,0.6876417,,philt102
jim sullivan,1922,pha,al,3,1,0,0.7100418,105,0.6750417,0.1559132,sullj108
eric erickson,1922,ws1,al,0,0,0,0.7226418,96,0.6876417,,erice101
jack quinn,1922,bos,al,1,0,1,0.7156418,101,0.6806418,0.1660663,quinj102
herman pillette,1922,det,al,0,0,0,0.7226418,96,0.6876417,,pillh101
ole olsen,1922,det,al,1,1,1,0.7226418,96,0.6876417,-0.1951474,olseo101
joe shaute,1922,cle,al,0,0,0,0.7170418,100,0.6820418,,shauj101
john russell,1922,cha,al,1,0,0,0.7170418,100,0.6820418,0.1653383,russj101
george edmondson,1922,cle,al,0,0,0,0.7170418,100,0.6820418,,edmog101
elmer myers,1922,bos,al,0,0,0,0.7156418,101,0.6806418,,myere101
roy moore,1922,det,al,0,0,0,0.7226418,96,0.6876417,,moorr102
hooks dauss,1922,det,al,2,0,0,0.7226418,96,0.6876417,0.3248526,daush101
george murray,1922,nya,al,6,1,2,0.7198418,98,0.6848418,0.627176,murrg101
curt fullerton,1922,bos,al,0,0,1,0.7156418,101,0.6806418,,fullc102
lefty o'doul,1922,nya,al,0,0,0,0.7198418,98,0.6848418,,odoul101
cy warmoth,1922,ws1,al,0,0,0,0.7226418,96,0.6876417,,warmc101
joe gleason,1922,ws1,al,0,1,0,0.7226418,96,0.6876417,-0.3575737,gleaj101
elam vangilder,1922,sla,al,5,2,1,0.7128418,103,0.6778418,0.132656,vange101
shovel hodge,1922,cha,al,10,2,2,0.7170418,100,0.6820418,0.9440593,hodgs101
slim harriss,1922,pha,al,3,2,1,0.7100418,105,0.6750417,-0.1951084,harrs101
waite hoyt,1922,nya,al,7,2,0,0.7198418,98,0.6848418,0.4349407,hoytw101
allen russell,1922,bos,al,8,4,0,0.7156418,101,0.6806418,-0.0872045,russa101
hub pruett,1922,sla,al,5,2,1,0.7128418,103,0.6778418,0.132656,prueh101
rip collins,1922,bos,al,0,0,1,0.7156418,101,0.6806418,,collr104
duster mails,1922,cle,al,1,2,1,0.7170418,100,0.6820418,-0.5439851,mailw101
tex jeanes,1922,cle,al,0,0,0,0.7170418,100,0.6820418,,jeant101
jim brillheart,1922,ws1,al,1,0,0,0.7226418,96,0.6876417,0.1624263,brilj101
george mogridge,1922,ws1,al,3,3,1,0.7226418,96,0.6876417,-0.5854422,mogrg101
benn karr,1922,bos,al,2,3,2,0.7156418,101,0.6806418,-0.7296686,karrb101
george winn,1922,cle,al,2,1,1,0.7170418,100,0.6820418,-0.0239851,winng101
roy wilkinson,1922,cha,al,0,1,0,0.7170418,100,0.6820418,-0.3546617,wilkr101
clem llewellyn,1922,nya,al,0,0,0,0.7198418,98,0.6848418,,llewc101
frank mack,1922,cha,al,0,0,0,0.7170418,100,0.6820418,,mackf101
sad sam jones,1922,nya,al,7,1,4,0.7198418,98,0.6848418,0.7910583,jones104
george uhle,1922,cle,al,6,2,0,0.7170418,100,0.6820418,0.2827063,uhleg101
bill bayne,1922,sla,al,6,1,3,0.7128418,103,0.6778418,0.652656,baynb101
nellie pott,1922,cle,al,0,0,0,0.7170418,100,0.6820418,,pottn101
dick mccabe,1922,cha,al,0,1,0,0.7170418,100,0.6820418,-0.3546617,mccad102
ernie cox,1922,cha,al,0,0,0,0.7170418,100,0.6820418,,cox-e101
charlie jamieson,1922,cle,al,0,0,0,0.7170418,100,0.6820418,,jamic101
fred heimach,1922,pha,al,2,1,0,0.7100418,105,0.6750417,-0.0130651,heimf101
ted blankenship,1922,cha,al,11,5,3,0.7170418,100,0.6820418,0.0454125,blant101
curly ogden,1922,pha,al,0,0,0,0.7100418,105,0.6750417,,ogdec101
rasty wright,1922,sla,al,3,1,0,0.7128418,103,0.6778418,0.1500891,wrigr104
emmett bowles,1922,cha,al,0,0,0,0.7170418,100,0.6820418,,bowle101
red faber,1922,cha,al,6,1,2,0.7170418,100,0.6820418,0.637368,faber101
lucas turk,1922,ws1,al,0,0,0,0.7226418,96,0.6876417,,turkl101
rollie naylor,1922,pha,al,3,2,1,0.7100418,105,0.6750417,-0.1951084,naylr101
harry courtney,1922,ws1,al,0,0,0,0.7226418,96,0.6876417,,courh101
bullet joe bush,1922,nya,al,11,1,1,0.7198418,98,0.6848418,1.446588,bushj102
howard ehmke,1922,det,al,13,2,2,0.7226418,96,0.6876417,1.396394,ehmkh101
charlie robertson,1922,cha,al,2,2,0,0.7170418,100,0.6820418,-0.3786469,robec101
roy moore,1922,pha,al,0,3,0,0.7100418,105,0.6750417,-1.053065,moorr102
bill piercy,1922,bos,al,0,0,1,0.7156418,101,0.6806418,,pierb103
sam dodge,1922,bos,al,0,0,0,0.7156418,101,0.6806418,,dodgs101
lil stoner,1922,det,al,0,0,0,0.7226418,96,0.6876417,,stonl101
harry courtney,1922,cha,al,2,1,0,0.7170418,100,0.6820418,-0.0239851,courh101
rube yarrison,1922,pha,al,0,1,0,0.7100418,105,0.6750417,-0.3510217,yarrr101
homer blankenship,1922,cha,al,0,0,0,0.7170418,100,0.6820418,,blanh101
red oldham,1922,det,al,2,4,1,0.7226418,96,0.6876417,-1.105442,oldhr101
walter johnson,1922,ws1,al,3,1,0,0.7226418,96,0.6876417,0.1297052,johnw102
herb pennock,1922,bos,al,1,2,0,0.7156418,101,0.6806418,-0.5418012,pennh101
james edwards,1922,cle,al,10,3,2,0.7170418,100,0.6820418,0.5893978,edwaj102
bert cole,1922,det,al,1,2,0,0.7226418,96,0.6876417,-0.5527211,coleb101
alex ferguson,1922,bos,al,3,0,0,0.7156418,101,0.6806418,0.4981988,ferga101
john middleton,1922,cle,al,0,0,0,0.7170418,100,0.6820418,,middj101
red schillings,1922,pha,al,0,0,0,0.7100418,105,0.6750417,,schir101
bob shawkey,1922,nya,al,7,3,1,0.7198418,98,0.6848418,0.0788228,shawb102
george stueland,1922,chn,nl,1,2,0,0.7479419,102,0.7129418,-0.5921893,stueg101
jack scott,1922,ny1,nl,2,1,1,0.7535418,98,0.7185418,-0.0809252,scotj101
eppa rixey,1922,cin,nl,0,0,0,0.7549418,97,0.7199418,,rixee101
frank miller,1922,bsn,nl,6,0,0,0.7549418,97,0.7199418,0.8737816,millf102
lou north,1922,sln,nl,1,0,1,0.7591419,94,0.7241418,0.1434463,nortl101
jimmy ring,1922,phi,nl,5,0,2,0.7325419,113,0.6975418,0.7863913,ringj101
red shea,1922,ny1,nl,2,3,0,0.7535418,98,0.7185418,-0.8282087,shear102
burleigh grimes,1922,bro,nl,0,1,1,0.7507418,100,0.7157418,-0.3721857,grimb101
george smith,1922,phi,nl,6,2,2,0.7325419,113,0.6975418,0.218226,smitg104
roy walker,1922,sln,nl,0,0,0,0.7591419,94,0.7241418,,walkr102
petie behan,1922,phi,nl,7,0,0,0.7325419,113,0.6975418,1.100948,behap101
joe genewich,1922,bsn,nl,0,0,0,0.7549418,97,0.7199418,,genej101
huck betts,1922,phi,nl,3,1,0,0.7325419,113,0.6975418,0.109113,betth101
duke gillespie,1922,cin,nl,0,0,1,0.7549418,97,0.7199418,,gillj103
bonnie hollingsworth,1922,pit,nl,0,0,0,0.7507418,100,0.7157418,,hollb102
stan baumgartner,1922,phi,nl,1,0,0,0.7325419,113,0.6975418,0.1572782,baums101
harry shriver,1922,bro,nl,0,0,0,0.7507418,100,0.7157418,,shrih101
garland braxton,1922,bsn,nl,1,2,0,0.7549418,97,0.7199418,-0.6031092,braxg101
sid benton,1922,sln,nl,0,0,0,0.7591419,94,0.7241418,,bents101
whitey glazner,1922,pit,nl,1,0,0,0.7507418,100,0.7157418,0.1478143,glazw101
clyde barfoot,1922,sln,nl,7,1,2,0.7591419,94,0.7241418,0.62757,barfc101
jack fournier,1922,sln,nl,0,0,0,0.7591419,94,0.7241418,,fourj101
rube marquard,1922,bsn,nl,4,0,0,0.7549418,97,0.7199418,0.5825211,marqr102
jim murray,1922,bro,nl,0,0,0,0.7507418,100,0.7157418,,murrj103
dazzy vance,1922,bro,nl,0,1,1,0.7507418,100,0.7157418,-0.3721857,vancd101
percy jones,1922,chn,nl,0,0,0,0.7479419,102,0.7129418,,jonep101
pete donohue,1922,cin,nl,0,0,0,0.7549418,97,0.7199418,,donop102
cliff markle,1922,cin,nl,2,2,1,0.7549418,97,0.7199418,-0.4574789,markc101
phil douglas,1922,ny1,nl,5,0,2,0.7535418,98,0.7185418,0.7317913,dougp101
dolf luque,1922,cin,nl,4,1,0,0.7549418,97,0.7199418,0.2081514,luqud101
hugh mcquillan,1922,ny1,nl,0,0,0,0.7535418,98,0.7185418,,mcquh101
karl schnell,1922,cin,nl,0,0,0,0.7549418,97,0.7199418,,schnk101
hugh mcquillan,1922,bsn,nl,4,1,1,0.7549418,97,0.7199418,0.2081514,mcquh101
joe oeschger,1922,bsn,nl,3,4,1,0.7549418,97,0.7199418,-1.060588,oescj101
myrl brown,1922,pit,nl,1,1,0,0.7507418,100,0.7157418,-0.2243715,browm101
mule watson,1922,bsn,nl,2,0,0,0.7549418,97,0.7199418,0.2912605,watsm103
harry hulihan,1922,bsn,nl,0,0,0,0.7549418,97,0.7199418,,hulih101
jesse winters,1922,phi,nl,11,3,0,0.7325419,113,0.6975418,0.6418954,wintj101
vic keen,1922,chn,nl,2,1,1,0.7479419,102,0.7129418,-0.0721892,keenv101
marv goodwin,1922,sln,nl,0,0,0,0.7591419,94,0.7241418,,goodm102
vic aldridge,1922,chn,nl,3,0,0,0.7479419,102,0.7129418,0.4478107,aldrv101
bill hubbell,1922,phi,nl,0,0,1,0.7325419,113,0.6975418,,hubbb101
lerton pinto,1922,phi,nl,0,0,0,0.7325419,113,0.6975418,,pintl101
uel eubanks,1922,chn,nl,0,0,0,0.7479419,102,0.7129418,,eubau101
fred fussell,1922,chn,nl,0,0,0,0.7479419,102,0.7129418,,fussf101
carmen hill,1922,ny1,nl,2,0,0,0.7535418,98,0.7185418,0.2927165,hillc102
dana fillingim,1922,bsn,nl,2,3,0,0.7549418,97,0.7199418,-0.8318486,filld101
babe adams,1922,pit,nl,5,2,3,0.7507418,100,0.7157418,-0.0053001,adamb104
bill doak,1922,sln,nl,1,0,1,0.7591419,94,0.7241418,0.1434463,doakb101
tiny osborne,1922,chn,nl,19,3,1,0.7479419,102,0.7129418,1.723946,osbot101
cy morgan,1922,bsn,nl,0,0,0,0.7549418,97,0.7199418,,morgc101
clarence mitchell,1922,bro,nl,0,0,0,0.7507418,100,0.7157418,,mitcc102
johnny stuart,1922,sln,nl,0,0,0,0.7591419,94,0.7241418,,stuaj101
chief yellowhorse,1922,pit,nl,5,3,1,0.7507418,100,0.7157418,-0.3774859,yellc101
art decatur,1922,bro,nl,19,3,1,0.7507418,100,0.7157418,1.691914,decaa101
art nehf,1922,ny1,nl,3,1,0,0.7535418,98,0.7185418,0.0654331,nehfa101
bill pertica,1922,sln,nl,5,0,0,0.7591419,94,0.7241418,0.7172312,pertb101
paul schreiber,1922,bro,nl,0,0,0,0.7507418,100,0.7157418,,schrp102
ray gordinier,1922,bro,nl,0,0,0,0.7507418,100,0.7157418,,gordr101
pete alexander,1922,chn,nl,3,1,0,0.7479419,102,0.7129418,0.077081,alexg102
cactus keck,1922,cin,nl,3,0,0,0.7549418,97,0.7199418,0.4368908,keckc101
tom sullivan,1922,phi,nl,0,0,0,0.7325419,113,0.6975418,,sullt103
tony kaufmann,1922,chn,nl,14,4,2,0.7479419,102,0.7129418,0.6068646,kauft101
al mamaux,1922,bro,nl,6,3,3,0.7507418,100,0.7157418,-0.2296716,mamaa101
johnny morrison,1922,pit,nl,10,2,0,0.7507418,100,0.7157418,0.733771,morrj105
red causey,1922,ny1,nl,4,5,0,0.7535418,98,0.7185418,-1.282776,causr101
hal carlson,1922,pit,nl,6,4,3,0.7507418,100,0.7157418,-0.6018573,carlh101
virgil barnes,1922,ny1,nl,2,0,0,0.7535418,98,0.7185418,0.2927165,barnv101
epp sell,1922,sln,nl,0,0,0,0.7591419,94,0.7241418,,selle101
jesse haines,1922,sln,nl,0,1,0,0.7591419,94,0.7241418,-0.3765537,hainj101
sherry smith,1922,bro,nl,5,3,2,0.7507418,100,0.7157418,-0.3774859,smits102
gene lansing,1922,bsn,nl,0,1,0,0.7549418,97,0.7199418,-0.3743697,lansg101
jesse barnes,1922,ny1,nl,1,1,0,0.7535418,98,0.7185418,-0.2272835,barnj102
jeff pfeffer,1922,sln,nl,1,0,1,0.7591419,94,0.7241418,0.1434463,pfefj101
eddie dyer,1922,sln,nl,0,0,0,0.7591419,94,0.7241418,,dyere101
wilbur cooper,1922,pit,nl,2,1,1,0.7507418,100,0.7157418,-0.0765572,coopw101
lefty weinert,1922,phi,nl,0,0,0,0.7325419,113,0.6975418,,weinl101
leon cadore,1922,bro,nl,4,1,0,0.7507418,100,0.7157418,0.2190713,cadol101
claude jonnard,1922,ny1,nl,8,1,3,0.7535418,98,0.7185418,0.7972244,jonnc101
johnny cooney,1922,bsn,nl,0,0,0,0.7549418,97,0.7199418,,coonj101
bill sherdel,1922,sln,nl,3,2,0,0.7591419,94,0.7241418,-0.3227687,sherb101
virgil cheeves,1922,chn,nl,4,3,3,0.7479419,102,0.7129418,-0.5151082,cheev101
bill bailey,1922,sln,nl,0,1,0,0.7591419,94,0.7241418,-0.3765537,bailb101
jack scott,1922,cin,nl,0,0,0,0.7549418,97,0.7199418,,scotj101
john singleton,1922,phi,nl,5,1,0,0.7325419,113,0.6975418,0.4236694,singj101
tim mcnamara,1922,bsn,nl,1,1,2,0.7549418,97,0.7199418,-0.2287395,mcnat101
ed morris,1922,chn,nl,0,0,0,0.7479419,102,0.7129418,,morre102
jimmy zinn,1922,pit,nl,0,0,0,0.7507418,100,0.7157418,,zinnj101
rosy ryan,1922,ny1,nl,9,2,2,0.7535418,98,0.7185418,0.5699409,ryanr101
buck freeman,1922,chn,nl,3,1,0,0.7479419,102,0.7129418,0.077081,freeb101
johnny couch,1922,cin,nl,1,1,0,0.7549418,97,0.7199418,-0.2287395,coucj101
earl hamilton,1922,pit,nl,13,2,0,0.7507418,100,0.7157418,1.177214,hamie101
rip wheeler,1922,pit,nl,0,0,0,0.7507418,100,0.7157418,,wheer101
bill moore,1925,det,al,0,0,0,0.7367181,98,0.7017181,,moorb104
vean gregg,1925,ws1,al,2,1,2,0.7381181,97,0.7031181,-0.0568642,gregv101
charlie caldwell,1925,nya,al,0,0,0,0.7381181,97,0.7031181,,caldc101
firpo marberry,1925,ws1,al,23,3,1,0.7381181,97,0.7031181,2.453843,marbf101
garland buckeye,1925,cle,al,1,2,0,0.7325181,101,0.6975181,-0.5681282,buckg101
milt gaston,1925,sla,al,7,3,1,0.7255181,106,0.6905181,0.0493059,gastm101
ernie wingard,1925,sla,al,3,1,1,0.7255181,106,0.6905181,0.1237224,winge102
lefty grove,1925,pha,al,11,8,2,0.7255181,106,0.6905181,-1.102319,grovl101
benn karr,1925,cle,al,17,2,3,0.7325181,101,0.6975181,1.948521,karrb101
jake freeze,1925,cha,al,0,0,0,0.7409182,95,0.7059181,,freej102
ted wingfield,1925,bos,al,6,0,3,0.7297181,103,0.6947181,0.9524795,wingt101
herb pennock,1925,nya,al,8,1,4,0.7381181,97,0.7031181,0.8694074,pennh101
red faber,1925,cha,al,2,1,0,0.7409182,95,0.7059181,-0.0612323,faber101
buster ross,1925,bos,al,0,1,0,0.7297181,103,0.6947181,-0.3612534,rossb103
jim marquis,1925,nya,al,0,0,0,0.7381181,97,0.7031181,,marqj101
ed wells,1925,det,al,0,2,2,0.7367181,98,0.7017181,-0.7297868,welle101
ed stauffer,1925,sla,al,0,0,0,0.7255181,106,0.6905181,,staue101
joe giard,1925,sla,al,0,1,0,0.7255181,106,0.6905181,-0.3590694,giarj101
dave danforth,1925,sla,al,5,2,1,0.7255181,106,0.6905181,0.0865142,danfd101
curly ogden,1925,ws1,al,1,1,0,0.7381181,97,0.7031181,-0.2112428,ogdec101
walter beall,1925,nya,al,0,0,0,0.7381181,97,0.7031181,,bealw101
chief bender,1925,cha,al,0,0,0,0.7409182,95,0.7059181,,bendc101
lil stoner,1925,det,al,5,1,2,0.7367181,98,0.7017181,0.4106395,stonl101
jess doyle,1925,det,al,9,4,3,0.7367181,98,0.7017181,-0.0636142,doylj105
walter johnson,1925,ws1,al,1,0,0,0.7381181,97,0.7031181,0.1543786,johnw102
fred heimach,1925,pha,al,0,0,0,0.7255181,106,0.6905181,,heimf101
ray francis,1925,bos,al,0,0,0,0.7297181,103,0.6947181,,franr101
james edwards,1925,cha,al,0,0,0,0.7409182,95,0.7059181,,edwaj102
ken holloway,1925,det,al,4,1,1,0.7367181,98,0.7017181,0.255533,hollk101
luther roy,1925,cle,al,0,1,0,0.7325181,101,0.6975181,-0.3627094,roy-l101
win ballou,1925,ws1,al,0,1,0,0.7381181,97,0.7031181,-0.3656214,ballw101
syl johnson,1925,det,al,7,1,0,0.7367181,98,0.7017181,0.7208527,johns101
oscar fuhr,1925,bos,al,1,0,1,0.7297181,103,0.6947181,0.1587466,fuhro102
howard ehmke,1925,bos,al,0,1,0,0.7297181,103,0.6947181,-0.3612534,ehmkh101
dickie kerr,1925,cha,al,0,0,0,0.7409182,95,0.7059181,,kerrd101
by speece,1925,cle,al,4,2,2,0.7325181,101,0.6975181,-0.0962564,speeb101
slim harriss,1925,pha,al,4,4,0,0.7255181,106,0.6905181,-0.7925552,harrs101
ownie carroll,1925,det,al,0,0,0,0.7367181,98,0.7017181,,carro101
