server,seconds_before_next_point,day,opponent,game_score,set,game
novak djokovic,13,28-may-15,gilles muller,30-0,3,2-1
novak djokovic,14,28-may-15,gilles muller,40-0,3,2-1
novak djokovic,21,28-may-15,gilles muller,40-15,3,2-1
borna coric,36,28-may-15,tommy robredo,0-30,3,2-2
borna coric,21,28-may-15,tommy robredo,15-30,3,2-2
borna coric,22,28-may-15,tommy robredo,30-30,3,2-2
john isner,27,28-may-15,jeremy chardy,40-30,2,4-3
andy murray,30,28-may-15,joao sousa,30-40,3,1-2
andy murray,24,28-may-15,joao sousa,deuce,3,1-2
andy murray,30,28-may-15,joao sousa,ad-out,3,1-2
andy murray,21,28-may-15,joao sousa,deuce,3,1-2
john isner,22,28-may-15,jeremy chardy,40-0,2,5-4
borna coric,26,28-may-15,tommy robredo,0-30,3,4-2
carlos berlocq,34,28-may-15,richard gasquet,15-30,2,0-1
carlos berlocq,28,28-may-15,richard gasquet,15-40,2,0-1
daniel gimeno traver,15,28-may-15,david ferrer,40-0,2,1-3
daniel gimeno traver,17,28-may-15,david ferrer,0-15,2,2-4
daniel gimeno traver,26,28-may-15,david ferrer,0-30,2,2-4
daniel gimeno traver,27,28-may-15,david ferrer,15-30,2,2-4
daniel gimeno traver,27,28-may-15,david ferrer,15-40,2,2-4
daniel gimeno traver,15,28-may-15,david ferrer,30-40,2,2-4
carlos berlocq,20,28-may-15,richard gasquet,15-15,3,0-0
carlos berlocq,30,28-may-15,richard gasquet,15-30,3,0-0
carlos berlocq,28,28-may-15,richard gasquet,15-40,3,0-0
carlos berlocq,28,29-may-15,richard gasquet,30-30,5,0-3
carlos berlocq,31,29-may-15,richard gasquet,40-30,5,0-3
lukas rosol,15,29-may-15,teymuraz gabashvili,15-0,3,3-5
lukas rosol,16,29-may-15,teymuraz gabashvili,15-15,3,3-5
lukas rosol,15,29-may-15,teymuraz gabashvili,30-15,3,3-5
lukas rosol,22,29-may-15,teymuraz gabashvili,30-30,3,3-5
lukas rosol,26,29-may-15,teymuraz gabashvili,30-40,3,3-5
lukas rosol,13,29-may-15,teymuraz gabashvili,deuce,3,3-5
lukas rosol,14,29-may-15,teymuraz gabashvili,ad-in,3,3-5
carlos berlocq,32,29-may-15,richard gasquet,15-40,5,1-4
roger federer,15,29-may-15,damir dzumhur,15-15,2,5-2
roger federer,15,29-may-15,damir dzumhur,30-15,2,5-2
roger federer,14,29-may-15,damir dzumhur,30-30,2,5-2
roger federer,22,29-may-15,damir dzumhur,30-40,2,5-2
roger federer,17,29-may-15,damir dzumhur,deuce,2,5-2
roger federer,13,29-may-15,damir dzumhur,ad-in,2,5-2
roger federer,17,29-may-15,damir dzumhur,deuce,2,5-2
roger federer,18,29-may-15,damir dzumhur,ad-out,2,5-2
roger federer,15,29-may-15,damir dzumhur,0-15,3,3-1
roger federer,15,29-may-15,damir dzumhur,15-15,3,3-1
roger federer,18,29-may-15,damir dzumhur,15-30,3,3-1
roger federer,17,29-may-15,damir dzumhur,30-30,3,3-1
roger federer,12,29-may-15,damir dzumhur,40-30,3,3-1
roger federer,13,29-may-15,damir dzumhur,30-15,3,4-2
roger federer,16,29-may-15,damir dzumhur,40-15,3,4-2
roger federer,23,29-may-15,damir dzumhur,40-30,3,4-2
benoit paire,14,29-may-15,tomas berdych,30-0,1,0-5
benoit paire,12,29-may-15,tomas berdych,30-15,1,0-5
benoit paire,11,29-may-15,tomas berdych,40-15,1,0-5
benoit paire,19,29-may-15,tomas berdych,40-30,1,0-5
benoit paire,12,29-may-15,tomas berdych,deuce,1,0-5
benoit paire,16,29-may-15,tomas berdych,ad-in,1,0-5
benoit paire,12,29-may-15,tomas berdych,30-15,2,0-0
benoit paire,16,29-may-15,tomas berdych,40-15,2,0-0
benoit paire,17,29-may-15,tomas berdych,40-30,2,0-0
nick kyrgios,9,30-may-15,andy murray,0-15,3,2-2
nick kyrgios,16,30-may-15,andy murray,15-15,3,2-2
nick kyrgios,15,30-may-15,andy murray,15-30,3,2-2
nick kyrgios,22,30-may-15,andy murray,30-30,3,2-2
nick kyrgios,19,30-may-15,andy murray,40-30,3,2-2
nick kyrgios,14,30-may-15,andy murray,0-40,3,3-3
nick kyrgios,23,30-may-15,andy murray,15-40,3,3-3
nick kyrgios,11,30-may-15,andy murray,15-15,3,3-3
nick kyrgios,9,30-may-15,andy murray,15-30,3,3-3
nick kyrgios,14,30-may-15,andy murray,30-30,3,3-3
nick kyrgios,11,30-may-15,andy murray,40-30,3,3-3
nick kyrgios,9,30-may-15,andy murray,deuce,3,3-3
nick kyrgios,14,30-may-15,andy murray,ad-in,3,3-3
nick kyrgios,13,30-may-15,andy murray,deuce,3,3-3
nick kyrgios,13,30-may-15,andy murray,ad-out,3,3-3
nick kyrgios,9,30-may-15,andy murray,deuce,3,3-3
nick kyrgios,12,30-may-15,andy murray,ad-in,3,3-3
nick kyrgios,24,30-may-15,andy murray,deuce,3,3-3
nick kyrgios,12,30-may-15,andy murray,ad-out,3,3-3
