song clean,artist clean,release year,combined,first?,year?,playcount,f*g
sometimes a fantasy,billy joel,1980,sometimes a fantasy by billy joel,1,1,3,3
the ballad of billy the kid,billy joel,1973,the ballad of billy the kid by billy joel,1,1,2,2
the stranger,billy joel,1977,the stranger by billy joel,1,1,5,5
you may be right,billy joel,1980,you may be right by billy joel,1,1,30,30
baby come back,billy rankin,,baby come back by billy rankin,1,0,1,0
everybody wants you,billy squier,,everybody wants you by billy squier,1,0,59,0
in the dark,billy squier,,in the dark by billy squier,1,0,24,0
lonely is the night,billy squier,1981,lonely is the night by billy squier,1,1,80,80
my kinda lover,billy squier,,my kinda lover by billy squier,1,0,22,0
rock me tonight,billy squier,1984,rock me tonight by billy squier,1,1,1,1
she's a runner,billy squier,,she's a runner by billy squier,1,0,1,0
the stroke,billy squier,1981,the stroke by billy squier,1,1,83,83
children of the sun,billy thorpe,,children of the sun by billy thorpe,1,0,2,0
fairies wear boots,black sabbath,1970,fairies wear boots by black sabbath,1,1,1,1
heaven and hell,black sabbath,1980,heaven and hell by black sabbath,1,1,1,1
iron man,black sabbath,1972,iron man by black sabbath,1,1,40,40
n.i.b.,black sabbath,1970,n.i.b. by black sabbath,1,1,8,8
neon knights,black sabbath,1980,neon knights by black sabbath,1,1,1,1
paranoid,black sabbath,1970,paranoid by black sabbath,1,1,105,105
sweet leaf,black sabbath,1971,sweet leaf by black sabbath,1,1,34,34
the wizard,black sabbath,1970,the wizard by black sabbath,1,1,1,1
war pigs,black sabbath,1970,war pigs by black sabbath,1,1,38,38
highway song,blackfoot,,highway song by blackfoot,1,0,17,0
train, train,blackfoot,1979,train, train by blackfoot,1,1,25,25
can't find my way home,blind faith,1969,can't find my way home by blind faith,1,1,4,4
presence of the lord,blind faith,1969,presence of the lord by blind faith,1,1,1,1
no rain,blind melon,1992,no rain by blind melon,1,1,2,2
presence of the lord,blind melon,,presence of the lord by blind melon,1,0,2,0
all the small things,blink-182,1999,all the small things by blink-182,1,1,1,1
call me,blondie,1980,call me by blondie,1,1,26,26
heart of glass,blondie,1978,heart of glass by blondie,1,1,11,11
one way or another,blondie,1978,one way or another by blondie,1,1,21,21
(don't fear) the reaper,blue oyster cult,1976,(don't fear) the reaper by blue oyster cult,1,1,99,99
bucks boogie,blue oyster cult,,bucks boogie by blue oyster cult,1,0,1,0
burnin' for you,blue oyster cult,1981,burnin' for you by blue oyster cult,1,1,107,107
godzilla,blue oyster cult,1977,godzilla by blue oyster cult,1,1,9,9
i love the night,blue oyster cult,1977,i love the night by blue oyster cult,1,1,2,2
summertime blues,blue oyster cult,,summertime blues by blue oyster cult,1,0,1,0
song 2,blur,1997,song 2 by blur,1,1,3,3
just like a woman,bob dylan,1966,just like a woman by bob dylan,1,1,1,1
knockin' on heaven's door,bob dylan,1973,knockin' on heaven's door by bob dylan,1,1,22,22
like a rolling stone,bob dylan,1965,like a rolling stone by bob dylan,1,1,3,3
positively 4th street,bob dylan,1965,positively 4th street by bob dylan,1,1,3,3
subterranean homesick blues,bob dylan,1965,subterranean homesick blues by bob dylan,1,1,1,1
tangled up in blue,bob dylan,1975,tangled up in blue by bob dylan,1,1,5,5
exodus,bob marley,,exodus by bob marley,1,0,1,0
jamming,bob marley,,jamming by bob marley,1,0,5,0
no woman, no cry,bob marley,1975,no woman, no cry by bob marley,1,1,1,1
one love,bob marley,1977,one love by bob marley,1,1,2,2
stir it up,bob marley,,stir it up by bob marley,1,0,2,0
three little birds,bob marley,,three little birds by bob marley,1,0,1,0
against the wind,bob seger,1980,against the wind by bob seger,1,1,39,39
betty lou's gettin' out tonigh,bob seger,,betty lou's gettin' out tonigh by bob seger,1,0,1,0
come to poppa,bob seger,,come to poppa by bob seger,1,0,4,0
feel like a number,bob seger,,feel like a number by bob seger,1,0,6,0
fire down below,bob seger,1977,fire down below by bob seger,1,1,1,1
get out of denver,bob seger,,get out of denver by bob seger,1,0,1,0
her strut,bob seger,1980,her strut by bob seger,1,1,29,29
hollywood nights,bob seger,1978,hollywood nights by bob seger,1,1,43,43
horizontal bop,bob seger,,horizontal bop by bob seger,1,0,2,0
katmandu,bob seger,1975,katmandu by bob seger,1,1,7,7
mainstreet,bob seger,1977,mainstreet by bob seger,1,1,7,7
night moves,bob seger,1976,night moves by bob seger,1,1,47,47
old time rock & roll,bob seger,1978,old time rock & roll by bob seger,1,1,42,42
ramblin' gamblin' man,bob seger,1968,ramblin' gamblin' man by bob seger,1,1,12,12
rock and roll never forgets,bob seger,1977,rock and roll never forgets by bob seger,1,1,24,24
roll me away,bob seger,,roll me away by bob seger,1,0,5,0
still the same,bob seger,1978,still the same by bob seger,1,1,15,15
sunspot baby,bob seger,,sunspot baby by bob seger,1,0,5,0
the fire down below,bob seger,,the fire down below by bob seger,1,0,18,0
travelin' man,bob seger,,travelin' man by bob seger,1,0,4,0
turn on your love light,bob seger,,turn on your love light by bob seger,1,0,1,0
turn the page,bob seger,1973,turn the page by bob seger,1,1,91,91
we've got tonite,bob seger,1978,we've got tonite by bob seger,1,1,1,1
you'll accompany me,bob seger,,you'll accompany me by bob seger,1,0,1,0
hypnotized,bob welch,,hypnotized by bob welch,1,0,2,0
bad medicine,bon jovi,1988,bad medicine by bon jovi,1,1,7,7
blaze of glory,bon jovi,1990,blaze of glory by bon jovi,1,1,8,8
born to be my baby,bon jovi,1989,born to be my baby by bon jovi,1,1,1,1
lay your hands on me,bon jovi,1988,lay your hands on me by bon jovi,1,1,2,2
livin' on a prayer,bon jovi,1986,livin' on a prayer by bon jovi,1,1,74,74
raise your hands,bon jovi,,raise your hands by bon jovi,1,0,1,0
runaway,bon jovi,1984,runaway by bon jovi,1,1,41,41
she don't know me,bon jovi,,she don't know me by bon jovi,1,0,2,0
wanted dead or alive,bon jovi,1986,wanted dead or alive by bon jovi,1,1,87,87
you give love a bad name,bon jovi,1986,you give love a bad name by bon jovi,1,1,63,63
wait for you,bonham,,wait for you by bonham,1,0,1,0
green onions,booker t. and the mg's,1962,green onions by booker t. and the mg's,1,1,4,4
a man i'll never be,boston,,a man i'll never be by boston,1,0,1,0
amanda,boston,1986,amanda by boston,1,1,4,4
cool the engines,boston,,cool the engines by boston,1,0,4,0
don't look back,boston,1978,don't look back by boston,1,1,86,86
feelin' satisfied,boston,,feelin' satisfied by boston,1,0,44,0
foreplay (long time),boston,1976,foreplay (long time) by boston,1,1,94,94
hitch a ride,boston,1976,hitch a ride by boston,1,1,11,11
let me take you home tonight,boston,1976,let me take you home tonight by boston,1,1,22,22
more than a feeling,boston,1976,more than a feeling by boston,1,1,134,134
party,boston,,party by boston,1,0,7,0
peace of mind,boston,1976,peace of mind by boston,1,1,132,132
rock & roll band,boston,1976,rock & roll band by boston,1,1,59,59
smokin',boston,1976,smokin' by boston,1,1,33,33
something about you,boston,,something about you by boston,1,0,26,0
the journey/it's easy,boston,,the journey/it's easy by boston,1,0,1,0
used to bad news,boston,,used to bad news by boston,1,0,1,0
we're ready,boston,,we're ready by boston,1,0,1,0
lido shuffle,boz scaggs,1976,lido shuffle by boz scaggs,1,1,11,11
lowdown,boz scaggs,1976,lowdown by boz scaggs,1,1,1,1
tarkio road,brewer & shipley,,tarkio road by brewer & shipley,1,0,1,0
the way it is,bruce hornsby & the range,1986,the way it is by bruce hornsby & the range,1,1,7,7
atlantic city,bruce springsteen,1982,atlantic city by bruce springsteen,1,1,1,1
backstreets,bruce springsteen,1975,backstreets by bruce springsteen,1,1,1,1
badlands,bruce springsteen,1978,badlands by bruce springsteen,1,1,2,2
blinded by the light,bruce springsteen,1973,blinded by the light by bruce springsteen,1,1,1,1
born in the u.s.a.,bruce springsteen,1984,born in the u.s.a. by bruce springsteen,1,1,14,14
born to run,bruce springsteen,1975,born to run by bruce springsteen,1,1,31,31
cover me,bruce springsteen,1984,cover me by bruce springsteen,1,1,1,1
dancing in the dark,bruce springsteen,1984,dancing in the dark by bruce springsteen,1,1,10,10
glory days,bruce springsteen,1984,glory days by bruce springsteen,1,1,21,21
growin' up,bruce springsteen,1973,growin' up by bruce springsteen,1,1,1,1
hungry heart,bruce springsteen,1980,hungry heart by bruce springsteen,1,1,7,7
i'm on fire,bruce springsteen,1984,i'm on fire by bruce springsteen,1,1,14,14
it's hard to be a saint in the city,bruce springsteen,1973,it's hard to be a saint in the city by bruce springsteen,1,1,1,1
jersey girl,bruce springsteen,,jersey girl by bruce springsteen,1,0,1,0
jungleland,bruce springsteen,1975,jungleland by bruce springsteen,1,1,2,2
pink cadillac,bruce springsteen,1984,pink cadillac by bruce springsteen,1,1,9,9
prove it all night,bruce springsteen,1978,prove it all night by bruce springsteen,1,1,2,2
racing in the streets,bruce springsteen,1978,racing in the streets by bruce springsteen,1,1,1,1
rosalita (come out tonight),bruce springsteen,1973,rosalita (come out tonight) by bruce springsteen,1,1,5,5
she's the one,bruce springsteen,1975,she's the one by bruce springsteen,1,1,1,1
spirit in the night,bruce springsteen,1973,spirit in the night by bruce springsteen,1,1,5,5
tenth avenue freeze-out,bruce springsteen,1975,tenth avenue freeze-out by bruce springsteen,1,1,4,4
thunder road,bruce springsteen,1975,thunder road by bruce springsteen,1,1,7,7
cuts like a knife,bryan adams,1983,cuts like a knife by bryan adams,1,1,17,17
heaven,bryan adams,1984,heaven by bryan adams,1,1,4,4
run to you,bryan adams,1984,run to you by bryan adams,1,1,42,42
somebody,bryan adams,1984,somebody by bryan adams,1,1,1,1
summer of '69,bryan adams,1984,summer of '69 by bryan adams,1,1,52,52
sorry,buckcherry,2007,sorry by buckcherry,1,1,1,1
for what it's worth,buffalo springfield,1966,for what it's worth by buffalo springfield,1,1,40,40
mr. soul,buffalo springfield,1967,mr. soul by buffalo springfield,1,1,1,1
rock & roll woman,buffalo springfield,,rock & roll woman by buffalo springfield,1,0,21,0
comedown,bush,1994,comedown by bush,1,1,5,5
machinehead,bush,1994,machinehead by bush,1,1,3,3
far behind,candlebox,1993,far behind by candlebox,1,1,3,3
goin' up the country,canned heat,1968,goin' up the country by canned heat,1,1,2,2
on the road again,canned heat,1968,on the road again by canned heat,1,1,1,1
it's too late,carole king,1971,it's too late by carole king,1,1,1,1
oh very young,cat stevens,,oh very young by cat stevens,1,0,1,0
wild world,cat stevens,1971,wild world by cat stevens,1,1,2,2
in america,charlie daniels band,1980,in america by charlie daniels band,1,1,1,1
long haired country boy,charlie daniels band,1975,long haired country boy by charlie daniels band,1,1,5,5
the devil went down to georgia,charlie daniels band,1979,the devil went down to georgia by charlie daniels band,1,1,25,25
the legend of wooley swamp,charlie daniels band,,the legend of wooley swamp by charlie daniels band,1,0,1,0
the south's gonna do it again,charlie daniels band,1975,the south's gonna do it again by charlie daniels band,1,1,1,1
uneasy rider,charlie daniels band,1973,uneasy rider by charlie daniels band,1,1,2,2
ain't that a shame,cheap trick,,ain't that a shame by cheap trick,1,0,8,0
dream police,cheap trick,,dream police by cheap trick,1,0,5,0
i want you to want me,cheap trick,1977,i want you to want me by cheap trick,1,1,110,110
she's tight,cheap trick,,she's tight by cheap trick,1,0,1,0
surrender,cheap trick,1978,surrender by cheap trick,1,1,57,57
take out the gunman,chevelle,2014,take out the gunman by chevelle,1,1,4,4
25 or 6 to 4,chicago,1970,25 or 6 to 4 by chicago,1,1,14,14
beginnings,chicago,,beginnings by chicago,1,0,1,0
feeling stronger every,chicago,1973,feeling stronger every by chicago,1,1,2,2
i'm a man,chicago,,i'm a man by chicago,1,0,1,0
just you and me,chicago,,just you and me by chicago,1,0,1,0
make me smile,chicago,1970,make me smile by chicago,1,1,1,1
questions 67 and 68,chicago,1969,questions 67 and 68 by chicago,1,1,1,1
saturday in the park,chicago,1972,saturday in the park by chicago,1,1,2,2
south california purples,chicago,,south california purples by chicago,1,0,1,0
johnny b. goode,chuck berry,1958,johnny b. goode by chuck berry,1,1,2,2
coming home,cinderella,1988,coming home by cinderella,1,1,1,1
don't know what you got,cinderella,1988,don't know what you got by cinderella,1,1,3,3
gypsy road,cinderella,1988,gypsy road by cinderella,1,1,1,1
nobody's fool,cinderella,1986,nobody's fool by cinderella,1,1,9,9
somebody save me,cinderella,1986,somebody save me by cinderella,1,1,1,1
better off without you,clarks,,better off without you by clarks,1,0,2,0
born too late,clarks,,born too late by clarks,1,0,2,0
cigarette,clarks,,cigarette by clarks,1,0,4,0
hey you,clarks,,hey you by clarks,1,0,1,0
maybe,clarks,,maybe by clarks,1,0,2,0
penny on the floor,clarks,,penny on the floor by clarks,1,0,1,0
the river,clarks,,the river by clarks,1,0,5,0
december,collective soul,,december by collective soul,1,0,8,0
shine,collective soul,1993,shine by collective soul,1,1,20,20
the world i know,collective soul,1995,the world i know by collective soul,1,1,1,1
hot rod lincoln,commander cody,1971,hot rod lincoln by commander cody,1,1,2,2
monkey bars,coney hatch,,monkey bars by coney hatch,1,0,1,0
mr. jones,counting crows,1993,mr. jones by counting crows,1,1,2,2
low,cracker,1993,low by cracker,1,1,2,2
badge,cream,1969,badge by cream,1,1,13,13
born under a bad sign,cream,,born under a bad sign by cream,1,0,9,0
crossroads,cream,1968,crossroads by cream,1,1,22,22
i'm so glad,cream,1966,i'm so glad by cream,1,1,1,1
sunshine of your love,cream,1967,sunshine of your love by cream,1,1,11,11
tales of brave ulysses,cream,1967,tales of brave ulysses by cream,1,1,1,1
white room,cream,1968,white room by cream,1,1,68,68
higher,creed,1999,higher by creed,1,1,4,4
my sacrifice,creed,,my sacrifice by creed,1,0,2,0
with arms wide open,creed,1999,with arms wide open by creed,1,1,1,1
bad moon rising,creedence clearwater revival,1969,bad moon rising by creedence clearwater revival,1,1,32,32
born on the bayou,creedence clearwater revival,1969,born on the bayou by creedence clearwater revival,1,1,25,25
commotion,creedence clearwater revival,,commotion by creedence clearwater revival,1,0,1,0
down on the corner,creedence clearwater revival,1969,down on the corner by creedence clearwater revival,1,1,30,30
fortunate son,creedence clearwater revival,1970,fortunate son by creedence clearwater revival,1,1,33,33
green river,creedence clearwater revival,1969,green river by creedence clearwater revival,1,1,3,3
have you ever seen the rain?,creedence clearwater revival,1971,have you ever seen the rain? by creedence clearwater revival,1,1,57,57
i heard it through the grapevine,creedence clearwater revival,,i heard it through the grapevine by creedence clearwater revival,1,0,8,0
lodi,creedence clearwater revival,1969,lodi by creedence clearwater revival,1,1,5,5
lookin' out my back door,creedence clearwater revival,1970,lookin' out my back door by creedence clearwater revival,1,1,20,20
proud mary,creedence clearwater revival,1969,proud mary by creedence clearwater revival,1,1,48,48
run through the jungle,creedence clearwater revival,1970,run through the jungle by creedence clearwater revival,1,1,14,14
suzie q,creedence clearwater revival,1968,suzie q by creedence clearwater revival,1,1,8,8
sweet hitch hiker,creedence clearwater revival,1971,sweet hitch hiker by creedence clearwater revival,1,1,1,1
the midnight special,creedence clearwater revival,,the midnight special by creedence clearwater revival,1,0,1,0
travelin' band,creedence clearwater revival,1970,travelin' band by creedence clearwater revival,1,1,12,12
up around the bend,creedence clearwater revival,1970,up around the bend by creedence clearwater revival,1,1,10,10
who'll stop the rain,creedence clearwater revival,1970,who'll stop the rain by creedence clearwater revival,1,1,24,24
fire woman,crosby, stills & nash,,fire woman by crosby, stills & nash,1,0,1,0
helplessly hoping,crosby, stills & nash,1969,helplessly hoping by crosby, stills & nash,1,1,1,1
long time gone,crosby, stills & nash,1969,long time gone by crosby, stills & nash,1,1,1,1
southern cross,crosby, stills & nash,1982,southern cross by crosby, stills & nash,1,1,9,9
suite: judy blue eyes,crosby, stills & nash,1969,suite: judy blue eyes by crosby, stills & nash,1,1,10,10
carry on,crosby, stills, nash & young,1970,carry on by crosby, stills, nash & young,1,1,6,6
ohio,crosby, stills, nash & young,1970,ohio by crosby, stills, nash & young,1,1,6,6
woodstock,crosby, stills, nash & young,1970,woodstock by crosby, stills, nash & young,1,1,37,37
(i just) died in your arms,cutting crew,1986,(i just) died in your arms by cutting crew,1,1,3,3
high enough,damn yankees,1990,high enough by damn yankees,1,1,1,1
i hear you knocking,dave edmunds,1970,i hear you knocking by dave edmunds,1,1,1,1
headkeeper,dave mason,,headkeeper by dave mason,1,0,1,0
only you know and i know,dave mason,,only you know and i know by dave mason,1,0,1,0
we just disagree,dave mason,1977,we just disagree by dave mason,1,1,1,1
